題目_ID,題目,標準答案,來源文件
1,文中提到台中市2月2日當天的氣溫變化範圍為何？,"根據 [data_01.txt] 的資訊，台中市2月2日當天的氣溫變化範圍是：

*   **最低溫：** 攝氏16度 (凌晨)
*   **最高溫：** 攝氏23度 (白天)
*   **傍晚：** 攝氏19度
*   **夜間：** 攝氏17度

因此，氣溫變化範圍是 **16度到23度**。",data_01.txt
2,Google Cloud 推出的 N4A 虛擬機器採用哪一款處理器？,根據提供的資訊，Google Cloud 推出的 N4A 虛擬機器採用 **Google Axion** 處理器，該處理器內建 **Arm Neoverse N3** 平臺的運算核心。,data_04.txt
3,根據林氏璧的指出，日本這波流感主要流行哪兩種病毒型別？其占比為何？,根據林氏璧的指出，日本這波流感主要流行A型H3和B型流感，其中A型H3佔74%，B型佔26%。,data_03.txt
4,LiteRT 的 GPU 加速效能平均比原本的 TensorFlow Lite GPU 委派快多少？,根據提供的資訊 [data_05.txt]，LiteRT 的 GPU 效能平均約比既有的 TensorFlow Lite GPU 委派快 **1.4倍**。,data_05.txt
5,台灣南部與北部的降雨特徵有何主要差異？,"根據提供的資料，台灣南部與北部的降雨特徵主要差異如下：

*   **北部：**全年有雨，年雨量可達2,000至2,500公厘。
*   **南部：**呈現夏雨冬乾的特徵，5月至9月為雨季，10月至翌年4月為乾季，年雨量約1,500至2,000公厘。

簡單來說，北部降雨較為均勻，全年都有雨，而南部則有明顯的季節性降雨，夏季多雨，冬季乾旱。",data_02.txt
6,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含哪一個亞洲地區？,根據提供的資訊 [data_04.txt]，Google Cloud 的 N4A 虛擬機器在今年1月底擴增的亞洲地區包含 **asia-southeast1（新加坡）**。,data_04.txt
7,LiteRT 目前支援哪些平台的 GPU 加速？,"根據提供的資訊，LiteRT 目前支援以下平台的 GPU 加速：

*   Android
*   iOS
*   macOS
*   Windows
*   Linux
*   Web",data_05.txt
8,根據日本流感疫情報告，東京目前比較流行的區域有哪些？,"根據提供的資訊[data_03.txt]，東京目前比較流行的區域包括：

*   八王子市
*   町田市
*   中野區
*   豐島區
*   北區
*   荒川區
*   江東區",data_03.txt
9,針對台中市2月2日的天氣，文中建議民眾該如何穿著？,根據[data_01.txt]的資訊，文中建議民眾外出時**穿著輕薄的長袖衣物，並隨身攜帶一件薄外套**，以應對早晚溫差。,data_01.txt
10,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到什麼風的影響？,根據提供的 [data_02.txt] 資訊，台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到**東北季風**的影響。,data_02.txt
